Country,Type,Value,ISO-code
Peru,GDP_per_capita,153990,PER
Philippines,GDP_per_capita,100940,PHL
Poland,GDP_per_capita,356510,POL
Portugal,GDP_per_capita,349360,PRT
Republic of the Congo,GDP_per_capita,73360,COG
Romania,GDP_per_capita,295550,ROU
Russia,GDP_per_capita,308200,RUS
Rwanda,GDP_per_capita,26420,RWA
Saint Kitts and Nevis,GDP_per_capita,319500,KNA
Saint Lucia,GDP_per_capita,151590,LCA
Saint Vincent and the Grenadines,GDP_per_capita,129830,VCT
Samoa,GDP_per_capita,64930,WSM
Sao Tome and Principe,GDP_per_capita,,STP
Saudi Arabia,GDP_per_capita,569120,SAU
Senegal,GDP_per_capita,40790,SEN
Serbia,GDP_per_capita,197670,SRB
Seychelles,GDP_per_capita,331180,SYC
Sierra Leone,GDP_per_capita,17650,SLE
Singapore,GDP_per_capita,1056890,SGP
Slovakia,GDP_per_capita,383210,SVK
Slovenia,GDP_per_capita,403440,SVN
Solomon Islands,GDP_per_capita,23630,SLB
Somalia,GDP_per_capita,3145,SOM
South Africa,GDP_per_capita,139650,ZAF
South Sudan,GDP_per_capita,17150,SSD
Spain,GDP_per_capita,430070,ESP
Sri Lanka,GDP_per_capita,145090,LKA
Sudan,GDP_per_capita,39860,SDN
Suriname,GDP_per_capita,160440,SUR
Sweden,GDP_per_capita,559890,SWE
Syria,GDP_per_capita,,SYR
Tajikistan,GDP_per_capita,37510,TJK
Tanzania,GDP_per_capita,36520,TZA
Thailand,GDP_per_capita,213610,THA
The Bahamas,GDP_per_capita,334320,BHS
The Gambia,GDP_per_capita,28920,GMB
Togo,GDP_per_capita,19130,TGO
Tonga,GDP_per_capita,68670,TON
Trinidad and Tobago,GDP_per_capita,337130,TTO
Tunisia,GDP_per_capita,130930,TUN
Turkey,GDP_per_capita,293270,TUR
Turkmenistan,GDP_per_capita,218550,TKM
Uganda,GDP_per_capita,27530,UGA
Ukraine,GDP_per_capita,101300,UKR
United Arab Emirates,GDP_per_capita,704410,ARE
United Kingdom,GDP_per_capita,481690,GBR
United States,GDP_per_capita,674260,USA
Uruguay,GDP_per_capita,245160,URY
Uzbekistan,GDP_per_capita,95950,UZB
Vanuatu,GDP_per_capita,30390,VUT
Venezuela,GDP_per_capita,160550,VEN
Vietnam,GDP_per_capita,86770,VNM
Yemen,GDP_per_capita,23120,YEM
Zambia,GDP_per_capita,41740,ZMB
Zimbabwe,GDP_per_capita,27780,ZWE
Afghanistan,Fertility,45,AFG
Algeria,Fertility,30,DZA
Andorra,Fertility,13,AND
Angola,Fertility,55,AGO
Antigua and Barbuda,Fertility,20,ATG
Argentina,Fertility,23,ARG
Armenia,Fertility,18,ARM
Australia,Fertility,17,AUS
Austria,Fertility,15,AUT
Azerbaijan,Fertility,17,AZE
Bahrain,Fertility,20,BHR
Bangladesh,Fertility,20,BGD
Barbados,Fertility,16,BRB
Belarus,Fertility,14,BLR
Belgium,Fertility,16,BEL
Belize,Fertility,23,BLZ
Benin,Fertility,48,BEN
Bhutan,Fertility,20,BTN
Bolivia,Fertility,27,BOL
Bosnia and Herzegovina,Fertility,13,BIH
Botswana,Fertility,29,BWA
Brazil,Fertility,17,BRA
Brunei,Fertility,18,BRN
Bulgaria,Fertility,16,BGR
Burkina Faso,Fertility,52,BFA
Burundi,Fertility,54,BDI
Cambodia,Fertility,25,KHM
Cameroon,Fertility,46,CMR
