Country,Type,Value,ISO-code
Trinidad and Tobago,Population growth,0.33,TTO
Tunisia,Population growth,0.97,TUN
Turkey,Population growth,1.28,TUR
Turkmenistan,Population growth,1.29,TKM
Uganda,Population growth,3.35,UGA
Ukraine,Population growth,-0.25,UKR
United Arab Emirates,Population growth,3.1,ARE
United Kingdom,Population growth,0.75,GBR
United States,Population growth,0.74,USA
Uruguay,Population growth,0.35,URY
Uzbekistan,Population growth,1.47,UZB
Vanuatu,Population growth,2.24,VUT
Venezuela,Population growth,1.53,VEN
Vietnam,Population growth,1.06,VNM
Yemen,Population growth,2.33,YEM
Zambia,Population growth,3.19,ZMB
Zimbabwe,Population growth,2.7,ZWE
Afghanistan,GDP per capita,2182,AFG
Algeria,GDP per capita,16091,DZA
Andorra,GDP per capita,,AND
Angola,GDP per capita,6763,AGO
Antigua and Barbuda,GDP per capita,30593,ATG
Argentina,GDP per capita,19971,ARG
Armenia,GDP per capita,11845,ARM
Australia,GDP per capita,54799,AUS
Austria,GDP per capita,55171,AUT
Azerbaijan,GDP per capita,19156,AZE
Bahrain,GDP per capita,51991,BHR
Bangladesh,GDP per capita,5453,BGD
Barbados,GDP per capita,19364,BRB
Belarus,GDP per capita,21224,BLR
Belgium,GDP per capita,50904,BEL
Belize,GDP per capita,8791,BLZ
Benin,GDP per capita,3648,BEN
Bhutan,GDP per capita,10627,BTN
Bolivia,GDP per capita,8525,BOL
Bosnia and Herzegovina,GDP per capita,14894,BIH
Botswana,GDP per capita,19388,BWA
Brazil,GDP per capita,17106,BRA
Brunei,GDP per capita,85011,BRN
Bulgaria,GDP per capita,26034,BGR
Burkina Faso,GDP per capita,2181,BFA
Burundi,GDP per capita,724,BDI
Cambodia,GDP per capita,5004,KHM
Cameroon,GDP per capita,4099,CMR
Canada,GDP per capita,52144,CAN
Cape Verde,GDP per capita,8716,CPV
Central African Republic,GDP per capita,864,CAF
Chad,GDP per capita,2603,TCD
Chile,GDP per capita,27150,CHL
China,GDP per capita,20984,CHN
Colombia,GDP per capita,16265,COL
Comoros,GDP per capita,2898,COM
Costa Rica,GDP per capita,18651,CRI
Croatia,GDP per capita,29207,HRV
Cuba,GDP per capita,8822,CUB
Cyprus,GDP per capita,42956,CYP
Czech Republic,GDP per capita,40585,CZE
Democratic Republic of the Congo,GDP per capita,873,COD
Denmark,GDP per capita,55675,DNK
Djibouti,GDP per capita,5855,DJI
Dominican Republic,GDP per capita,20625,DOM
East Timor,GDP per capita,5321,TLS
Ecuador,GDP per capita,11866,ECU
Egypt,GDP per capita,14800,EGY
El Salvador,GDP per capita,8593,SLV
Equatorial Guinea,GDP per capita,19961,GNQ
Eritrea,GDP per capita,1103,ERI
Estonia,GDP per capita,37606,EST
Eswatini,GDP per capita,11139,SWZ
Ethiopia,GDP per capita,2702,ETH
Fiji,GDP per capita,12689,FJI
Finland,GDP per capita,49548,FIN
France,GDP per capita,48640,FRA
Gabon,GDP per capita,19839,GAB
Georgia,GDP per capita,13200,GEO
Germany,GDP per capita,55306,DEU
